,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
0,2013.083,34.0,157.6052,7.0,24.96628,121.54196,39.1
1,2013.5,13.3,561.9845,5.0,24.98746,121.54391,54.8
2,2012.917,13.7,1236.564,1.0,24.97694,121.55391,30.6
3,2013.5,8.5,104.8101,5.0,24.96674,121.54067,55.5
4,2013.5,13.2,1164.838,,24.99156,121.53406,34.3
5,2012.917,8.0,104.8101,5.0,24.96674,121.54067,51.8
6,2012.667,32.7,392.4459,6.0,24.96398,121.5425,30.5
7,2012.667,20.2,2185.128,3.0,24.96322,121.51237,22.8
8,2012.75,0.0,208.3905,6.0,24.95618,121.53844,45.7
9,2013.417,6.4,90.45606,9.0,24.97433,121.5431,62.2
10,2013.25,3.8,383.8624,5.0,24.98085,121.54391,55.0
11,2012.667,15.5,815.9314,4.0,24.97886,121.53464,37.4
12,2013.25,,122.3619,8.0,24.96756,121.5423,67.7
13,2013.417,31.5,5512.038,1.0,24.95095,121.48458,17.4
14,2013.5,13.9,4079.418,0.0,25.01459,121.51816,27.3
15,2013.417,16.4,289.3248,5.0,24.98203,121.54348,53.0
16,2012.917,16.9,964.7496,4.0,24.98872,121.53411,37.7
17,2013.0,39.6,480.6977,4.0,24.97353,121.53885,38.8
18,2012.75,7.8,104.8101,5.0,24.96674,121.54067,38.4
19,2012.75,12.5,1144.436,4.0,24.99176,121.53456,34.1
20,2012.917,40.9,167.5989,5.0,24.9663,121.54026,41.0
21,2012.75,38.0,461.7848,0.0,24.97229,121.53445,35.7
22,2013.417,,389.8219,6.0,24.96412,121.54273,40.6
23,2013.083,36.6,488.8193,8.0,24.97015,121.54494,38.3
24,2013.417,4.3,432.0385,7.0,24.9805,121.53778,45.2
25,2012.833,10.3,211.4473,1.0,24.97417,121.52999,45.3
26,2012.917,2.1,451.2438,5.0,24.97563,121.54694,45.5
27,2012.833,1.8,1455.798,1.0,24.9512,121.549,27.0
28,2013.25,26.8,482.7581,5.0,24.97433,121.53863,35.5
29,2012.917,28.0,372.6242,6.0,24.97838,121.54119,40.8
30,2013.5,8.5,104.8101,5.0,24.96674,121.54067,56.8
31,2013.083,11.9,1360.139,1.0,24.95204,121.54842,28.4
32,2012.75,12.9,250.631,7.0,24.96606,121.54297,39.3
33,2013.417,,197.1338,6.0,24.97631,121.54436,42.5
34,2013.5,25.3,1583.722,3.0,24.96622,121.51709,30.6
35,2013.0,16.3,3529.564,0.0,24.93207,121.51597,29.3
36,2012.667,37.1,918.6357,1.0,24.97198,121.55063,31.9
37,2012.667,15.6,289.3248,5.0,24.98203,121.54348,46.1
38,2012.833,5.0,390.5684,5.0,24.97937,121.54245,43.1
39,2013.167,43.8,57.58945,7.0,24.9675,121.54069,42.7
40,2012.75,13.0,492.2313,5.0,24.96515,121.53737,40.5
41,2013.0,13.7,4082.015,0.0,24.94155,121.50381,15.4
